[2026-08-21T16:13:02.931Z] GET file:///Users/santiago/workspace/zafra-site/index.html → 200 (5ms, 21586B)
[2026-08-21T16:13:02.938Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Cormorant+Garamond:ital,wght@0,400;0,500;0,600;0,700;1,400;1,500&display=swap → pending (?ms, ?B)
[2026-08-21T16:13:02.938Z] GET file:///Users/santiago/workspace/zafra-site/images/zafra-logo-final.jpg → 200 (3ms, 118638B)
[2026-08-21T16:13:02.939Z] GET file:///Users/santiago/workspace/zafra-site/images/product-coffee-bag.jpg → 200 (3ms, 216026B)
[2026-08-21T16:13:02.939Z] GET file:///Users/santiago/workspace/zafra-site/images/product-cacao-bag.jpg → 200 (3ms, 316788B)
[2026-08-21T16:13:02.939Z] GET file:///Users/santiago/workspace/zafra-site/images/product-honey-jar.jpg → 200 (3ms, 316385B)
[2026-08-21T16:13:02.939Z] GET file:///Users/santiago/workspace/zafra-site/images/product-vanilla-jar.jpg → 200 (4ms, 310262B)
[2026-08-21T16:13:02.939Z] GET file:///cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js → pending (?ms, ?B)
[2026-08-21T16:13:03.299Z] GET file:///Users/santiago/workspace/zafra-site/images/hero-mountains.jpg → 200 (2ms, 672685B)
[2026-08-21T16:13:03.300Z] GET file:///Users/santiago/workspace/zafra-site/images/coffee-cherries.jpg → 200 (2ms, 283515B)
[2026-08-21T16:13:03.301Z] GET file:///Users/santiago/workspace/zafra-site/images/cacao-pods.jpg → 200 (1ms, 648871B)
[2026-08-21T16:13:03.301Z] GET file:///Users/santiago/workspace/zafra-site/images/honey-jar.jpg → 200 (2ms, 364783B)
[2026-08-21T16:13:03.301Z] GET file:///Users/santiago/workspace/zafra-site/images/vanilla-orchid.jpg → 200 (3ms, 329211B)
[2026-08-21T16:13:03.301Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (332ms, 48568B)
[2026-08-21T16:13:03.301Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (273ms, 38327B)
[2026-08-21T16:13:03.301Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (323ms, 39440B)
[2026-08-21T16:16:50.743Z] GET file:///Users/santiago/workspace/zafra-site/index.html → 200 (1ms, 21664B)
[2026-08-21T16:16:50.747Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Cormorant+Garamond:ital,wght@0,400;0,500;0,600;0,700;1,400;1,500&display=swap → 200 (1ms, -698B)
[2026-08-21T16:16:50.747Z] GET file:///Users/santiago/workspace/zafra-site/images/zafra-logo-final.jpg → 200 (1ms, 118638B)
[2026-08-21T16:16:50.747Z] GET file:///Users/santiago/workspace/zafra-site/images/product-coffee-bag.jpg → 200 (1ms, 216026B)
[2026-08-21T16:16:50.747Z] GET file:///Users/santiago/workspace/zafra-site/images/product-cacao-bag.jpg → 200 (1ms, 316788B)
[2026-08-21T16:16:50.747Z] GET file:///Users/santiago/workspace/zafra-site/images/product-honey-jar.jpg → 200 (1ms, 316385B)
[2026-08-21T16:16:50.747Z] GET file:///Users/santiago/workspace/zafra-site/images/product-vanilla-jar.jpg → 200 (1ms, 310262B)
[2026-08-21T16:16:50.747Z] GET file:///cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js → pending (?ms, ?B)
[2026-08-21T16:16:50.750Z] GET file:///Users/santiago/workspace/zafra-site/images/hero-mountains.jpg → 200 (1ms, 672685B)
[2026-08-21T16:16:50.750Z] GET file:///Users/santiago/workspace/zafra-site/images/coffee-cherries.jpg → 200 (1ms, 283515B)
[2026-08-21T16:16:50.750Z] GET file:///Users/santiago/workspace/zafra-site/images/cacao-pods.jpg → 200 (1ms, 648871B)
[2026-08-21T16:16:50.750Z] GET file:///Users/santiago/workspace/zafra-site/images/honey-jar.jpg → 200 (1ms, 364783B)
[2026-08-21T16:16:50.750Z] GET file:///Users/santiago/workspace/zafra-site/images/vanilla-orchid.jpg → 200 (1ms, 329211B)
[2026-08-21T16:16:50.750Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (3ms, -815B)
[2026-08-21T16:16:50.751Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (2ms, -815B)
[2026-08-21T16:16:50.751Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (2ms, -815B)
[2026-08-21T16:19:11.306Z] GET file:///Users/santiago/workspace/zafra-site/index.html → 200 (?ms, 21664B)
[2026-08-21T16:19:11.312Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Cormorant+Garamond:ital,wght@0,400;0,500;0,600;0,700;1,400;1,500&display=swap → 200 (1ms, -698B)
[2026-08-21T16:19:11.312Z] GET file:///Users/santiago/workspace/zafra-site/images/zafra-logo-final.jpg → 200 (1ms, 118638B)
[2026-08-21T16:19:11.313Z] GET file:///Users/santiago/workspace/zafra-site/images/product-coffee-bag.jpg → 200 (?ms, 216026B)
[2026-08-21T16:19:11.313Z] GET file:///Users/santiago/workspace/zafra-site/images/product-cacao-bag.jpg → 200 (?ms, 316788B)
[2026-08-21T16:19:11.313Z] GET file:///Users/santiago/workspace/zafra-site/images/product-honey-jar.jpg → 200 (?ms, 316385B)
[2026-08-21T16:19:11.313Z] GET file:///Users/santiago/workspace/zafra-site/images/product-vanilla-jar.jpg → 200 (?ms, 310262B)
[2026-08-21T16:19:11.313Z] GET file:///cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js → pending (?ms, ?B)
[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/hero-mountains.jpg → 200 (?ms, 672685B)
[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/coffee-cherries.jpg → 200 (1ms, 283515B)
[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/cacao-pods.jpg → 200 (1ms, 648871B)
[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/honey-jar.jpg → 200 (2ms, 364783B)
[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/vanilla-orchid.jpg → 200 (2ms, 329211B)
[2026-08-21T16:19:11.332Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (3ms, -815B)
